id,archetype,age,gender,location,urban_rural,education,income_band,trust_govt,trust_media,trust_academia,trust_local,trust_social_media,trust_influencers,trust_religious_leaders,youtube_usage,whatsapp_usage,newspaper_usage,tv_news_usage,regional_media_exposure,english_media_exposure,political_interest,economic_optimism,traditionalism
512,Homemaker,42,Male,"Vadodara, Gujarat",Urban,Higher Secondary,₹2.5L-5L,5,5,4,7,6,6,7,4,9,4,7,7,5,4,5,7
513,Retired Government Officer,65,Female,"Hyderabad, Telangana",Urban,Doctorate,₹10L-20L,8,7,8,6,3,2,6,3,5,8,8,7,7,7,5,7
514,Small Business Owner,34,Male,"Vadodara, Gujarat",Urban,Graduate,₹2.5L-5L,5,5,4,8,5,4,6,4,7,6,5,7,3,4,6,6
515,Urban Student,21,Female,Delhi,Urban,Higher Secondary,₹5L-10L,5,5,8,6,8,7,4,9,7,3,3,4,9,4,7,3
516,Startup Founder,39,Female,"Chennai, Tamil Nadu",Urban,Postgraduate,₹20L-50L,4,4,6,5,7,6,3,7,6,5,4,3,10,6,9,2
517,Corporate Employee,44,Female,Chandigarh,Urban,Graduate,₹20L-50L,5,6,6,5,6,5,4,7,7,6,4,5,7,5,6,5
518,Rural Farmer,65,Male,"Bikaner rural, Rajasthan",Rural,Secondary,Below ₹2.5L,5,4,3,8,4,3,8,4,6,4,6,9,2,6,5,9
519,Startup Founder,37,Male,"Hyderabad, Telangana",Urban,Graduate,₹20L-50L,4,3,6,5,7,6,3,7,8,4,4,3,9,5,9,4
520,Startup Founder,39,Female,Delhi,Urban,Postgraduate,Above ₹50L,4,5,5,5,6,6,4,7,7,5,5,3,9,5,10,3
521,Rural Farmer,50,Male,"Hoshiarpur district, Punjab",Rural,Secondary,Below ₹2.5L,5,4,3,8,4,3,8,4,6,4,6,9,2,7,5,8
522,Rural Farmer,43,Male,"Karimnagar district, Telangana",Rural,Illiterate,Below ₹2.5L,5,4,3,9,4,3,6,4,6,4,6,8,2,6,5,8
523,Urban Student,20,Female,"Hyderabad, Telangana",Urban,Undergraduate,₹2.5L-5L,5,5,8,6,7,7,3,8,7,3,3,5,10,5,7,3
524,Urban Student,22,Male,"Lucknow, Uttar Pradesh",Urban,Higher Secondary,₹2.5L-5L,5,5,9,6,7,6,3,9,7,3,3,3,9,4,7,4
525,Startup Founder,31,Male,Delhi,Urban,Doctorate,₹20L-50L,4,4,6,5,7,6,3,7,7,5,3,3,10,6,9,3
526,Corporate Employee,50,Male,"Ahmedabad, Gujarat",Urban,Postgraduate,₹10L-20L,5,4,6,5,7,5,5,7,7,5,5,5,9,5,6,4
527,Startup Founder,36,Female,"Hyderabad, Telangana",Urban,Graduate,Above ₹50L,4,3,6,5,8,6,3,7,6,5,4,3,9,5,9,3
528,Urban Student,16,Female,"Thiruvananthapuram, Kerala",Urban,Postgraduate,Below ₹2.5L,5,6,8,6,7,6,5,9,7,3,4,4,10,4,6,3
529,Startup Founder,31,Female,"Pune, Maharashtra",Urban,Postgraduate,Above ₹50L,4,4,6,5,7,6,3,6,7,6,3,3,9,5,9,3
530,Small Business Owner,38,Male,"Nellore, Andhra Pradesh",Semi-Urban,Graduate,₹10L-20L,6,5,4,8,4,4,6,5,8,6,6,7,4,5,5,6
531,Homemaker,59,Female,"Kolhapur, Maharashtra",Semi-Urban,Undergraduate,Below ₹2.5L,5,5,4,9,6,5,7,5,9,5,7,7,2,5,5,6
532,Corporate Employee,40,Female,"Patna, Bihar",Urban,Graduate,₹20L-50L,5,5,6,5,6,6,5,7,7,5,6,4,7,5,7,6
533,Rural Farmer,42,Male,"Thanjavur rural, Tamil Nadu",Rural,Primary,Below ₹2.5L,6,4,3,8,4,3,9,5,6,5,6,9,2,6,5,8
534,Small Business Owner,51,Male,"Chennai, Tamil Nadu",Urban,Graduate,₹5L-10L,5,5,4,8,5,4,6,5,9,6,6,7,5,5,6,6
535,Homemaker,42,Female,"Murshidabad district, West Bengal",Rural,Primary,₹2.5L-5L,5,5,4,7,6,5,6,5,10,4,6,7,3,5,5,6
536,Startup Founder,41,Female,"Bangalore, Karnataka",Urban,Graduate,₹20L-50L,4,3,5,6,7,6,3,6,7,5,4,3,10,5,9,3
537,Startup Founder,25,Male,"Pune, Maharashtra",Urban,Postgraduate,₹10L-20L,4,3,6,5,7,7,3,6,7,4,4,4,10,6,9,3
538,Startup Founder,41,Female,"Noida, Uttar Pradesh",Urban,Graduate,Above ₹50L,4,3,6,6,7,6,3,7,7,5,3,2,9,5,9,3
539,Corporate Employee,32,Female,"Bangalore, Karnataka",Urban,Undergraduate,₹20L-50L,5,4,6,5,6,4,5,6,7,5,5,4,7,5,6,6
540,Urban Student,17,Male,"Nagpur, Maharashtra",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,8,4,9,6,3,3,4,9,6,8,3
541,Urban Student,24,Female,"Kochi, Kerala",Urban,Higher Secondary,₹2.5L-5L,5,6,8,6,6,7,4,9,7,4,3,4,9,6,7,3
542,Corporate Employee,49,Male,"Patna, Bihar",Urban,Graduate,₹20L-50L,4,4,5,5,6,6,4,6,7,5,5,5,8,5,6,5
543,Retired Government Officer,70,Male,"Noida, Uttar Pradesh",Urban,Graduate,₹10L-20L,7,6,8,8,3,2,7,2,5,8,8,6,7,8,5,6
544,Urban Student,18,Male,"Hyderabad, Telangana",Urban,Undergraduate,₹2.5L-5L,5,5,8,5,7,7,2,9,7,3,3,3,10,4,6,3
545,Urban Student,17,Female,"Guwahati, Assam",Urban,Undergraduate,Below ₹2.5L,5,5,8,5,7,7,5,9,7,2,3,5,8,4,7,3
546,Rural Farmer,59,Female,"Hoshiarpur district, Punjab",Rural,Secondary,Below ₹2.5L,6,4,3,8,5,4,8,4,6,4,6,9,2,5,5,8
547,Corporate Employee,45,Female,"Lucknow, Uttar Pradesh",Urban,Graduate,₹10L-20L,5,5,6,5,6,5,4,6,7,5,5,5,9,5,6,5
548,Homemaker,49,Female,"Nellore, Andhra Pradesh",Semi-Urban,Graduate,₹2.5L-5L,5,5,5,8,6,5,8,5,9,4,7,8,3,5,5,7
549,Corporate Employee,45,Male,"Thiruvananthapuram, Kerala",Urban,Graduate,₹20L-50L,5,5,7,5,6,4,6,6,8,6,5,5,8,5,6,5
550,Urban Student,22,Male,"Surat, Gujarat",Urban,Postgraduate,Below ₹2.5L,5,5,9,7,7,7,4,9,7,3,3,4,8,4,8,4
551,Rural Farmer,39,Male,"Murshidabad district, West Bengal",Rural,Secondary,Below ₹2.5L,5,3,3,7,4,3,8,4,5,3,6,9,2,6,5,9
552,Startup Founder,26,Male,"Gurugram, Haryana",Urban,Graduate,₹20L-50L,4,4,6,5,7,6,3,8,7,6,4,2,9,5,9,3
553,Startup Founder,31,Female,"Bangalore, Karnataka",Urban,Graduate,₹20L-50L,4,4,7,5,7,6,3,7,8,5,4,3,10,4,10,3
554,Retired Government Officer,66,Male,"Nellore, Andhra Pradesh",Semi-Urban,Graduate,₹10L-20L,9,6,7,7,3,2,6,4,5,7,9,6,7,7,6,6
555,Corporate Employee,40,Male,"Gurugram, Haryana",Urban,Graduate,₹5L-10L,5,5,6,4,5,5,4,6,7,5,5,5,8,5,6,5
556,Small Business Owner,58,Female,"Bhubaneswar, Odisha",Urban,Secondary,₹5L-10L,5,4,4,9,5,4,6,5,8,6,7,7,4,5,6,6
557,Homemaker,59,Female,"Kannur rural, Kerala",Rural,Primary,₹5L-10L,5,4,4,8,5,5,7,5,10,4,7,6,4,5,5,7
558,Regional Language Aspirant,25,Female,"Thanjavur rural, Tamil Nadu",Rural,Postgraduate,₹5L-10L,4,5,9,7,5,4,6,6,7,7,7,9,3,9,5,6
559,Corporate Employee,29,Male,"Kochi, Kerala",Urban,Graduate,₹10L-20L,5,5,5,5,6,5,4,6,7,5,5,5,8,5,6,5
560,Urban Student,21,Female,"Vadodara, Gujarat",Urban,Undergraduate,Below ₹2.5L,4,5,8,7,7,7,4,9,7,4,2,5,10,5,7,3
561,Rural Farmer,49,Male,"Bhagalpur rural, Bihar",Rural,Secondary,Below ₹2.5L,5,4,3,8,4,3,8,4,5,4,6,9,1,6,5,8
562,Retired Government Officer,70,Male,"Guwahati, Assam",Urban,Postgraduate,₹10L-20L,7,6,7,8,3,2,7,3,4,8,8,6,7,8,6,8
563,Retired Government Officer,75,Male,"Jhansi, Uttar Pradesh",Semi-Urban,Doctorate,₹20L-50L,8,7,8,7,3,1,8,3,5,8,8,6,7,8,6,7
564,Retired Government Officer,65,Female,"Jaipur, Rajasthan",Urban,Postgraduate,₹5L-10L,8,6,7,7,3,2,6,3,5,8,9,6,7,8,6,7
565,Regional Language Aspirant,24,Female,"Thanjavur rural, Tamil Nadu",Rural,Postgraduate,₹2.5L-5L,5,5,8,7,4,4,7,6,6,7,6,9,3,9,5,7
566,Rural Farmer,41,Female,"Bikaner rural, Rajasthan",Rural,Secondary,Below ₹2.5L,5,4,3,8,4,2,8,4,6,4,6,8,3,6,5,8
567,Homemaker,46,Female,"Guntur, Andhra Pradesh",Semi-Urban,Higher Secondary,₹10L-20L,5,5,4,8,6,5,7,5,9,4,7,6,4,5,6,7
568,Rural Farmer,52,Male,"Village near Varanasi, Uttar Pradesh",Rural,Primary,Below ₹2.5L,6,5,4,8,4,3,7,4,6,3,5,9,3,6,5,7
569,Rural Farmer,65,Male,"Village near Varanasi, Uttar Pradesh",Rural,Secondary,₹2.5L-5L,5,3,3,8,4,3,8,5,6,4,5,9,2,5,6,8
570,Rural Farmer,38,Male,"Mehsana district, Gujarat",Rural,Primary,Below ₹2.5L,4,4,3,7,3,3,8,4,6,4,5,9,2,6,5,7
571,Small Business Owner,55,Female,"Kolkata, West Bengal",Urban,Secondary,₹2.5L-5L,5,4,4,8,5,4,6,5,8,6,7,6,4,5,7,6
572,Regional Language Aspirant,23,Male,"Sundargarh district, Odisha",Rural,Undergraduate,₹2.5L-5L,6,6,9,7,5,4,6,6,7,7,6,9,3,8,5,7
573,Regional Language Aspirant,20,Male,"Ratnagiri district, Maharashtra",Rural,Undergraduate,₹2.5L-5L,5,5,8,7,5,3,6,6,7,7,6,9,3,8,4,7
574,Urban Student,20,Female,"Pune, Maharashtra",Urban,Undergraduate,Below ₹2.5L,5,6,8,6,7,7,3,8,7,3,3,4,9,5,7,2
575,Urban Student,19,Male,"Chennai, Tamil Nadu",Urban,Higher Secondary,Below ₹2.5L,5,6,8,6,6,7,4,8,7,3,3,5,9,4,7,3
576,Corporate Employee,38,Female,"Hyderabad, Telangana",Urban,Postgraduate,₹10L-20L,5,5,6,4,7,5,5,6,7,5,5,5,8,5,6,5
577,Rural Farmer,61,Male,"Bastar district, Chhattisgarh",Rural,Secondary,Below ₹2.5L,6,5,2,8,4,3,7,4,6,4,6,9,2,6,6,8
578,Small Business Owner,36,Female,"Aligarh, Uttar Pradesh",Semi-Urban,Secondary,₹2.5L-5L,6,6,3,8,5,4,6,5,8,6,5,7,3,6,6,5
579,Homemaker,29,Female,"Visakhapatnam, Andhra Pradesh",Urban,Undergraduate,₹10L-20L,5,5,4,8,6,5,7,5,9,4,7,7,4,4,5,7
580,Homemaker,51,Female,"Siliguri, West Bengal",Semi-Urban,Higher Secondary,Below ₹2.5L,5,5,4,8,6,4,8,5,9,4,7,7,3,5,5,6
581,Startup Founder,41,Male,"Noida, Uttar Pradesh",Urban,Graduate,₹10L-20L,4,5,6,5,8,6,2,7,8,5,3,3,10,4,9,3
582,Regional Language Aspirant,28,Female,"Aligarh, Uttar Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,6,5,7,7,5,4,6,5,7,6,7,9,3,8,5,6
583,Rural Farmer,50,Female,"Murshidabad district, West Bengal",Rural,Illiterate,₹2.5L-5L,5,4,3,8,4,3,7,4,6,4,6,9,2,6,5,7
584,Startup Founder,28,Male,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,4,4,6,5,7,6,3,7,8,5,4,3,10,5,10,3
585,Corporate Employee,41,Female,"Bhubaneswar, Odisha",Urban,Graduate,₹5L-10L,4,5,5,5,6,4,5,7,6,6,5,5,9,6,6,5
586,Small Business Owner,53,Male,"Guntur, Andhra Pradesh",Semi-Urban,Graduate,₹2.5L-5L,5,5,3,9,5,4,6,4,8,6,6,7,4,5,6,6
587,Small Business Owner,44,Female,"Tirupati, Andhra Pradesh",Semi-Urban,Secondary,₹5L-10L,5,6,4,7,6,3,6,5,8,6,6,6,4,6,6,6
588,Regional Language Aspirant,30,Male,"Bikaner rural, Rajasthan",Rural,Undergraduate,₹5L-10L,5,6,8,7,5,3,6,6,8,6,6,8,3,8,5,7
589,Retired Government Officer,76,Female,"Kolkata, West Bengal",Urban,Postgraduate,₹5L-10L,8,6,7,6,3,2,7,2,5,8,8,6,7,8,6,7
590,Urban Student,24,Male,"Surat, Gujarat",Urban,Higher Secondary,Below ₹2.5L,4,6,7,6,7,7,4,8,7,3,3,4,9,4,8,3
591,Retired Government Officer,69,Male,"Kolhapur, Maharashtra",Semi-Urban,Graduate,₹5L-10L,8,6,6,8,2,2,7,3,4,8,8,5,7,8,7,7
592,Urban Student,23,Male,"Nagpur, Maharashtra",Urban,Undergraduate,Below ₹2.5L,5,6,8,7,7,7,3,8,7,3,3,3,9,4,7,2
593,Corporate Employee,34,Male,"Ahmedabad, Gujarat",Urban,Postgraduate,₹5L-10L,5,5,6,5,6,5,4,5,7,5,6,6,9,5,6,5
594,Retired Government Officer,66,Female,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,8,6,8,6,2,3,6,3,5,7,8,6,7,8,5,7
595,Small Business Owner,58,Female,"Patna, Bihar",Urban,Graduate,₹2.5L-5L,5,4,4,9,5,3,6,5,8,6,6,8,4,5,6,6
596,Regional Language Aspirant,19,Male,"Kannur rural, Kerala",Rural,Postgraduate,₹5L-10L,5,5,8,8,5,4,6,5,7,8,6,9,3,8,4,7
597,Retired Government Officer,66,Male,"Jaipur, Rajasthan",Urban,Postgraduate,₹5L-10L,7,7,7,6,3,2,7,4,6,9,8,7,7,8,6,7
598,Rural Farmer,59,Female,"Bhagalpur rural, Bihar",Rural,Primary,₹2.5L-5L,5,5,3,8,4,3,8,4,6,4,6,9,2,6,5,9
599,Rural Farmer,63,Male,"Sundargarh district, Odisha",Rural,Higher Secondary,Below ₹2.5L,5,4,3,8,4,3,7,4,7,5,6,9,2,7,5,7
600,Regional Language Aspirant,26,Male,"Bastar district, Chhattisgarh",Rural,Graduate,Below ₹2.5L,5,5,7,8,5,4,6,5,7,7,5,9,2,8,5,7
601,Corporate Employee,42,Male,"Mumbai, Maharashtra",Urban,Graduate,₹10L-20L,5,5,6,5,6,5,4,5,7,4,5,6,8,4,6,5
602,Regional Language Aspirant,32,Male,"Sangrur district, Punjab",Rural,Undergraduate,₹5L-10L,4,6,8,7,5,5,6,6,7,7,6,8,4,8,5,7
603,Urban Student,16,Male,"Vadodara, Gujarat",Urban,Undergraduate,Below ₹2.5L,5,4,7,6,7,7,5,9,6,3,3,5,9,4,7,3
604,Urban Student,16,Male,"Hyderabad, Telangana",Urban,Undergraduate,₹2.5L-5L,5,5,9,7,7,7,3,9,8,3,3,4,10,5,6,3
605,Small Business Owner,44,Female,Chandigarh,Urban,Graduate,₹5L-10L,5,5,4,7,5,3,6,5,8,6,5,7,4,5,6,6
606,Startup Founder,43,Male,"Chennai, Tamil Nadu",Urban,Doctorate,Above ₹50L,4,4,6,5,7,6,3,7,7,5,5,2,9,4,9,3
607,Startup Founder,28,Female,Delhi,Urban,Postgraduate,Above ₹50L,4,4,6,5,7,6,3,7,8,4,4,3,10,5,9,3
608,Startup Founder,28,Male,"Bangalore, Karnataka",Urban,Postgraduate,₹20L-50L,5,4,6,5,7,6,3,7,8,4,4,3,9,5,9,3
609,Startup Founder,34,Female,Delhi,Urban,Doctorate,₹20L-50L,4,4,6,5,8,6,3,8,7,5,4,3,9,6,8,3
610,Corporate Employee,41,Male,"Thiruvananthapuram, Kerala",Urban,Graduate,₹20L-50L,5,6,6,4,6,5,4,6,7,5,4,5,8,5,6,5
611,Rural Farmer,53,Male,"Mehsana district, Gujarat",Rural,Illiterate,Below ₹2.5L,6,4,3,8,5,3,7,4,5,4,6,9,2,6,5,8
612,Small Business Owner,34,Male,"Hubli, Karnataka",Semi-Urban,Undergraduate,₹5L-10L,5,5,4,8,5,4,6,5,8,6,6,6,4,5,6,5
613,Startup Founder,43,Male,"Mumbai, Maharashtra",Urban,Graduate,₹10L-20L,4,4,7,4,7,6,3,8,7,5,4,3,10,4,8,3
614,Small Business Owner,35,Female,Delhi,Urban,Higher Secondary,₹5L-10L,4,5,4,8,5,4,6,5,9,5,6,7,4,7,6,6
615,Regional Language Aspirant,33,Male,"Kannur rural, Kerala",Rural,Undergraduate,Below ₹2.5L,5,5,8,6,6,4,6,6,7,7,7,10,3,8,5,7
616,Homemaker,62,Female,"Kolhapur, Maharashtra",Semi-Urban,Undergraduate,Below ₹2.5L,5,5,4,8,6,5,6,5,9,3,7,7,4,4,6,7
617,Urban Student,23,Female,"Kolkata, West Bengal",Urban,Higher Secondary,Below ₹2.5L,6,5,8,6,6,7,4,10,7,4,3,4,9,4,7,3
618,Small Business Owner,49,Male,"Indore, Madhya Pradesh",Urban,Undergraduate,₹10L-20L,6,5,3,8,4,4,6,5,9,6,6,7,3,6,5,6
619,Regional Language Aspirant,22,Female,"Kolar district, Karnataka",Rural,Graduate,₹2.5L-5L,4,5,7,7,5,4,6,6,7,7,6,9,2,8,5,8
620,Corporate Employee,44,Male,"Ahmedabad, Gujarat",Urban,Graduate,₹20L-50L,5,5,6,5,5,5,4,6,7,5,4,6,8,4,6,4
621,Regional Language Aspirant,32,Male,"Sundargarh district, Odisha",Rural,Postgraduate,₹2.5L-5L,5,5,8,7,5,4,6,6,7,7,6,9,3,8,6,7
622,Corporate Employee,29,Female,"Surat, Gujarat",Urban,Postgraduate,₹5L-10L,5,5,6,4,6,5,4,6,7,5,5,5,8,6,6,5
623,Retired Government Officer,69,Female,"Belgaum, Karnataka",Semi-Urban,Doctorate,₹10L-20L,8,6,7,7,3,2,6,4,5,8,7,7,6,8,6,7
624,Regional Language Aspirant,26,Female,"Sangli district, Maharashtra",Rural,Postgraduate,₹5L-10L,5,6,9,7,5,4,5,6,7,8,7,9,3,8,5,7
625,Rural Farmer,53,Female,"Karimnagar district, Telangana",Rural,Secondary,₹2.5L-5L,5,3,4,8,4,3,7,4,6,4,6,9,2,6,4,7
626,Startup Founder,45,Female,Delhi,Urban,Graduate,Above ₹50L,4,4,7,5,6,7,3,7,7,5,4,3,9,4,9,3
627,Regional Language Aspirant,33,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Postgraduate,₹2.5L-5L,5,5,7,7,4,3,5,7,7,7,6,9,3,8,5,7
628,Regional Language Aspirant,26,Female,"Hoshiarpur district, Punjab",Rural,Postgraduate,₹2.5L-5L,5,5,7,7,5,4,6,6,7,7,6,9,3,8,5,7
629,Rural Farmer,65,Female,"Kolar district, Karnataka",Rural,Illiterate,Below ₹2.5L,6,4,3,8,5,3,7,3,5,4,6,9,2,7,5,8
630,Rural Farmer,57,Male,"Kannur rural, Kerala",Rural,Primary,₹2.5L-5L,5,5,3,7,4,3,7,4,6,4,6,9,2,5,5,8
631,Rural Farmer,46,Female,"Karimnagar district, Telangana",Rural,Primary,Below ₹2.5L,4,4,3,8,4,3,7,4,5,4,6,10,2,5,6,8
632,Urban Student,17,Male,"Kolkata, West Bengal",Urban,Higher Secondary,₹2.5L-5L,5,5,8,6,7,7,3,9,6,2,3,4,8,4,7,3
633,Startup Founder,30,Female,"Mumbai, Maharashtra",Urban,Doctorate,Above ₹50L,4,4,6,5,7,6,3,7,7,4,4,2,10,5,10,2
634,Homemaker,65,Female,"Patna, Bihar",Urban,Higher Secondary,Below ₹2.5L,5,5,4,8,6,5,7,5,9,5,8,7,5,3,5,7
635,Retired Government Officer,64,Female,"Siliguri, West Bengal",Semi-Urban,Doctorate,₹5L-10L,7,6,8,8,3,2,6,3,6,8,8,7,6,9,7,7
636,Regional Language Aspirant,25,Female,"Guntur, Andhra Pradesh",Semi-Urban,Graduate,Below ₹2.5L,6,5,8,7,5,4,5,6,8,7,6,9,4,8,5,7
637,Urban Student,20,Female,"Noida, Uttar Pradesh",Urban,Higher Secondary,₹2.5L-5L,5,5,8,6,7,8,4,9,7,3,3,4,9,5,7,3
638,Small Business Owner,35,Female,Delhi,Urban,Secondary,₹2.5L-5L,5,5,4,8,6,4,6,5,8,6,6,7,4,5,7,6
639,Rural Farmer,47,Male,"Murshidabad district, West Bengal",Rural,Secondary,Below ₹2.5L,6,4,4,8,4,3,7,4,7,5,6,9,2,7,5,7
640,Homemaker,51,Female,"Bhubaneswar, Odisha",Urban,Higher Secondary,₹2.5L-5L,5,5,4,7,6,5,7,5,9,4,7,7,2,5,4,7
641,Urban Student,17,Female,"Bhubaneswar, Odisha",Urban,Postgraduate,₹2.5L-5L,5,4,8,6,7,7,4,9,7,3,3,4,10,4,7,4
642,Urban Student,23,Female,Chandigarh,Urban,Higher Secondary,Below ₹2.5L,5,4,8,6,7,7,5,9,7,3,3,4,9,5,7,3
643,Regional Language Aspirant,28,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Postgraduate,₹2.5L-5L,5,6,8,7,5,4,6,6,7,7,6,9,3,8,5,7
644,Corporate Employee,33,Male,"Lucknow, Uttar Pradesh",Urban,Postgraduate,₹5L-10L,5,5,6,5,6,5,4,6,6,5,5,5,7,6,6,5
645,Corporate Employee,24,Female,"Indore, Madhya Pradesh",Urban,Postgraduate,₹5L-10L,5,5,6,5,6,5,5,6,7,5,5,5,8,5,6,5
646,Startup Founder,33,Female,"Bangalore, Karnataka",Urban,Postgraduate,Above ₹50L,4,4,7,4,7,6,3,7,7,5,4,3,9,5,9,3
647,Regional Language Aspirant,21,Female,"Sundargarh district, Odisha",Rural,Postgraduate,Below ₹2.5L,5,4,9,7,5,4,6,6,8,7,6,9,3,8,5,7
648,Startup Founder,43,Female,"Noida, Uttar Pradesh",Urban,Postgraduate,₹20L-50L,3,4,6,5,8,6,2,8,7,5,4,3,9,5,9,2
649,Retired Government Officer,70,Male,"Jamshedpur, Jharkhand",Semi-Urban,Doctorate,₹10L-20L,8,6,7,6,3,2,7,3,5,8,7,6,7,8,6,7
650,Small Business Owner,38,Female,Delhi,Urban,Higher Secondary,₹10L-20L,5,4,4,8,5,4,6,6,8,6,6,7,4,5,6,6
651,Rural Farmer,30,Female,"Sundargarh district, Odisha",Rural,Primary,Below ₹2.5L,5,4,3,8,5,3,8,4,6,4,7,9,2,6,5,8
652,Retired Government Officer,76,Male,"Jamshedpur, Jharkhand",Semi-Urban,Postgraduate,₹5L-10L,7,6,7,7,2,2,7,3,5,7,9,6,7,9,6,7
653,Rural Farmer,65,Female,"Anantapur district, Andhra Pradesh",Rural,Higher Secondary,₹2.5L-5L,5,5,3,7,4,3,8,5,6,4,7,8,2,6,5,8
654,Urban Student,16,Male,"Visakhapatnam, Andhra Pradesh",Urban,Undergraduate,Below ₹2.5L,5,6,8,7,8,8,4,8,7,3,3,4,9,5,8,3
655,Corporate Employee,50,Female,"Bhubaneswar, Odisha",Urban,Graduate,₹5L-10L,5,5,6,4,6,5,4,5,7,5,5,4,8,6,6,5
656,Corporate Employee,40,Male,"Guwahati, Assam",Urban,Undergraduate,₹5L-10L,4,6,5,5,6,5,5,6,8,5,5,5,8,5,6,5
657,Retired Government Officer,62,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Doctorate,₹10L-20L,8,5,7,7,4,2,8,3,5,9,8,6,7,8,6,6
658,Rural Farmer,34,Female,"Kannur rural, Kerala",Rural,Illiterate,₹2.5L-5L,4,4,2,8,3,3,7,4,6,4,7,9,1,6,5,8
659,Rural Farmer,42,Female,"Sitamarhi district, Bihar",Rural,Secondary,Below ₹2.5L,4,3,2,7,4,3,8,4,5,5,6,9,2,5,5,8
660,Startup Founder,29,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,₹20L-50L,4,4,6,4,7,6,3,7,7,5,3,3,9,5,9,2
661,Homemaker,34,Female,"Bhagalpur rural, Bihar",Rural,Secondary,₹10L-20L,6,5,4,9,6,5,6,4,9,4,6,7,3,5,5,7
662,Small Business Owner,34,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Higher Secondary,₹5L-10L,5,5,4,8,5,4,6,6,8,6,6,7,4,7,7,6
663,Startup Founder,29,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,₹20L-50L,4,3,6,5,7,7,3,6,7,4,4,3,10,5,10,3
664,Homemaker,44,Female,"Anantapur district, Andhra Pradesh",Rural,Higher Secondary,₹2.5L-5L,5,5,4,8,6,6,7,5,9,4,7,7,4,4,5,7
665,Startup Founder,42,Male,Delhi,Urban,Postgraduate,₹10L-20L,4,4,6,5,7,7,3,7,6,4,3,3,10,5,9,3
666,Small Business Owner,50,Male,"Indore, Madhya Pradesh",Urban,Graduate,₹5L-10L,6,4,4,8,5,5,7,5,8,6,6,7,5,5,6,6
667,Regional Language Aspirant,30,Female,"Belgaum, Karnataka",Semi-Urban,Undergraduate,₹5L-10L,6,4,8,6,5,5,6,5,6,6,7,9,3,9,5,7
668,Regional Language Aspirant,18,Male,"Sangli district, Maharashtra",Rural,Graduate,₹2.5L-5L,5,5,8,7,6,4,6,6,8,7,5,9,3,7,5,6
669,Corporate Employee,48,Female,"Bhopal, Madhya Pradesh",Urban,Graduate,₹10L-20L,5,5,6,5,7,5,5,6,7,5,5,5,8,5,6,5
670,Startup Founder,39,Female,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,5,4,6,5,7,6,2,7,7,5,4,3,10,4,9,3
671,Retired Government Officer,61,Male,"Thiruvananthapuram, Kerala",Urban,Doctorate,₹10L-20L,9,6,7,7,3,2,6,2,4,8,8,7,7,9,6,7
672,Homemaker,56,Female,"Erode, Tamil Nadu",Semi-Urban,Graduate,Below ₹2.5L,5,5,4,8,7,4,7,5,10,4,7,7,3,4,5,7
673,Startup Founder,45,Male,"Gurugram, Haryana",Urban,Doctorate,₹20L-50L,4,3,6,5,7,6,4,7,6,5,4,4,9,6,9,3
674,Urban Student,24,Female,"Jaipur, Rajasthan",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,7,2,9,7,3,3,4,9,3,7,3
675,Homemaker,62,Female,"Sundargarh district, Odisha",Rural,Undergraduate,₹5L-10L,5,5,4,8,7,5,8,4,9,4,8,7,4,5,5,7
676,Regional Language Aspirant,34,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Graduate,Below ₹2.5L,5,5,8,7,5,4,6,6,7,7,6,10,3,8,5,7
677,Regional Language Aspirant,34,Female,"Madurai, Tamil Nadu",Semi-Urban,Graduate,₹5L-10L,5,4,8,7,5,4,6,7,7,7,6,9,3,8,5,7
678,Homemaker,32,Female,"Jhansi, Uttar Pradesh",Semi-Urban,Secondary,₹2.5L-5L,5,5,4,8,6,5,8,5,9,4,7,7,4,4,5,7
679,Retired Government Officer,63,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Postgraduate,₹5L-10L,8,6,6,7,3,2,7,3,5,7,8,7,6,8,5,8
680,Corporate Employee,37,Female,"Bangalore, Karnataka",Urban,Undergraduate,₹5L-10L,5,4,6,5,6,5,4,6,7,4,6,5,8,5,5,6
681,Homemaker,42,Female,"Erode, Tamil Nadu",Semi-Urban,Primary,Below ₹2.5L,5,5,4,8,6,5,7,5,10,5,7,7,3,4,6,7
682,Retired Government Officer,65,Male,"Rohtak, Haryana",Semi-Urban,Doctorate,₹10L-20L,9,6,7,7,3,3,6,4,4,9,9,5,7,7,6,7
683,Urban Student,16,Female,"Guwahati, Assam",Urban,Higher Secondary,Below ₹2.5L,5,5,9,7,7,7,4,9,7,3,4,4,9,6,8,3
